,total_ce,avg_ce
0,6.166666666666667,1.2435019841269843
1,5.625,1.2462301587301587
2,6.291666666666667,1.2165674603174603
3,6.25,1.2272667147667147
4,6.333333333333333,1.2125165343915343
5,6.375,1.2319113756613758
6,5.791666666666667,1.2322089947089947
7,6.083333333333333,1.235978835978836
8,6.416666666666667,1.213260582010582
9,6.458333333333333,1.2423445767195769
10,6.791666666666667,1.1968088624338624
11,5.333333333333333,1.2086805555555555
12,6.416666666666667,1.2178571428571427
13,6.666666666666667,1.1913870851370851
14,6.541666666666667,1.2028273809523808
15,5.708333333333333,1.246329365079365
16,6.458333333333333,1.1915674603174604
17,6.166666666666667,1.2244708994708995
18,5.541666666666667,1.2896329365079364
19,6.583333333333333,1.1918154761904762
20,6.083333333333333,1.2230654761904762
21,4.75,1.3458829365079363
22,5.958333333333333,1.2353835978835979
23,5.875,1.233829365079365
24,6.458333333333333,1.2161886724386723
25,6.541666666666667,1.2181382275132275
26,6.75,1.2030423280423281
27,6.791666666666667,1.191385582010582
28,6.208333333333333,1.2211474867724867
29,5.958333333333333,1.2435681216931218
